Nozzle [mmWC]	Fan [mmWC]	Revspeed [rpm]	ElPower [W]
0	7	1448	97
0.8	6.6	1449	91
0.6	6.4	1451	92
0.75	6.25	1452	92
1.15	6.05	1453	92
1.85	6.25	1453	92
2.85	6.9	1451	92
3.7	7.8	1449	94
4.4	8.45	1447	94.5
4.65	8.3	1447	95
4.85	8.3	1446	95
5.05	8.25	1445	95
5.8	8.25	1443	97
7.4	8.8	1439	99
9.1	9.25	1434	100
12.5	9.8	1428	103
14.9	9.35	1425	104.5
18	8.35	1422	107.5
19.2	7.9	1421	108
20.25	7.5	1420	108
21.1	7.05	1420	107
21.45	6.9	1420	107
22	6.6	1419	107
17.05	0.2	1032	71
16.75	0.65	1043	72
16.5	0.95	1052	72
15.5	1.85	1070	72
13.45	3.05	1070	72
12.6	3.6	1075	72
11.8	4.1	1085	72
8.7	6.8	1197	71
7.95	6.9	1212	70
2.15	0.15	373	35
0	0.9	492	36
0	4.9	1178	58
3.3	6.35	1255	57
0.6	5	1319	54
9	0	763	57
20.3	5.25	1337	85
13.5	8.15	1352	82
4.3	7.75	1405	71
0.45	6.1	1413	69
0	6.9	1402	71
